Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2000,Canada,Prairies,Sugarcane,29.38,753.36,2.99,3.59,5,45.06,38.7,32.11,71.65,Organic Farming,1337.74
1999,Argentina,Patagonia,Sugarcane,-3.04,2812.56,27.2,0.63,5,16.13,39.34,69.31,39.13,Water Management,239.4
1997,China,Central,Sugarcane,1.33,2224.68,16.92,1.035,0,85.42,5.86,5.78,47.13,Water Management,158.19
2001,Nigeria,North Central,Sugarcane,-2.47,2506.87,11.15,2.79,3,81.41,13.82,37.68,32.28,Crop Rotation,1364.32
2001,Australia,New South Wales,Sugarcane,20.6,2917.08,7.93,3.23,4,18.69,40.56,24.99,55.69,Organic Farming,1127.75
1995,Canada,Prairies,Sugarcane,0.59,486.76,9.35,1.935,8,20.94,14.13,89.86,52.94,Water Management,196.35
2023,India,Punjab,Sugarcane,-1.69,675.38,15.57,2.673,2,97.03,41.02,95.85,58.48,No Adaptation,1097.74
2020,France,Provence-Alpes-Cote d’Azur,Sugarcane,18.78,2478.48,8.91,3.94,2,94.04,33.72,90.86,64.43,Drought-resistant Crops,1104.79
1999,Canada,British Columbia,Sugarcane,26.93,646.03,13.5,1.13,10,48.61,9.64,33.99,53.99,Water Management,377.52
1993,India,Tamil Nadu,Sugarcane,-1.3,1505.0,23.9,0.8280000000000001,5,21.44,42.36,86.54,66.9,Water Management,345.11
2010,Argentina,Northeast,Sugarcane,8.21,1475.72,9.6,2.52,1,26.25,15.03,41.31,35.26,No Adaptation,483.91
1995,India,Punjab,Sugarcane,18.19,710.71,23.69,3.96,0,60.14,37.27,70.15,49.87,Drought-resistant Crops,916.23
2021,Argentina,Northwest,Sugarcane,7.44,2326.85,2.84,2.5,5,92.72,10.68,59.84,61.96,Organic Farming,1224.78
1994,Russia,Central,Sugarcane,28.71,1377.47,6.62,3.5,2,31.33,27.87,10.72,85.32,Crop Rotation,744.92
2024,China,South,Sugarcane,12.93,2255.76,0.75,1.8,0,93.8,31.22,27.39,30.82,Water Management,860.08
2022,Canada,Ontario,Sugarcane,6.69,2631.11,8.36,0.7,10,84.84,2.23,61.64,33.96,Drought-resistant Crops,277.84
1999,Russia,Northwestern,Sugarcane,34.18,1297.36,26.97,1.305,4,88.64,25.9,91.58,79.63,Water Management,609.5
2012,Australia,Queensland,Sugarcane,1.01,995.44,13.68,1.86,9,51.96,40.11,87.24,59.76,Drought-resistant Crops,300.22
1992,Nigeria,North West,Sugarcane,19.12,2225.61,7.29,3.42,7,90.08,1.93,50.94,85.8,Organic Farming,1006.46
1994,Brazil,North,Sugarcane,30.5,2871.02,18.24,2.673,7,21.01,45.97,1.95,43.91,No Adaptation,1307.9
2008,USA,Northeast,Sugarcane,14.9,2232.6,9.82,4.53,10,45.39,14.65,21.98,38.43,Organic Farming,1967.11
2024,Argentina,Northeast,Sugarcane,26.76,1984.37,18.03,3.0690000000000004,10,38.44,17.65,84.44,98.18,Drought-resistant Crops,1211.77
2012,India,West Bengal,Sugarcane,21.86,952.86,3.43,2.86,0,35.41,31.09,22.1,92.72,Organic Farming,585.51
2004,Russia,Siberian,Sugarcane,-0.42,2119.7,12.18,2.49,6,58.55,37.56,8.67,73.46,Organic Farming,875.37
2004,USA,Northeast,Sugarcane,10.89,785.01,11.09,3.32,5,64.73,16.97,24.72,31.66,Drought-resistant Crops,989.8
2009,Canada,Quebec,Sugarcane,5.19,2727.8,1.23,1.25,0,57.95,6.88,39.25,96.37,No Adaptation,436.24
2021,France,Nouvelle-Aquitaine,Sugarcane,31.83,2290.05,2.69,3.26,9,67.78,48.17,41.41,33.96,Water Management,617.34
2001,USA,South,Sugarcane,12.85,2336.07,2.31,3.81,4,88.05,27.38,74.85,59.43,Crop Rotation,486.34
1997,India,Tamil Nadu,Sugarcane,-3.98,1064.65,6.08,2.1,5,73.85,34.33,26.51,80.27,Drought-resistant Crops,886.28
2003,USA,South,Sugarcane,15.43,1608.86,22.16,2.889,9,53.44,15.61,90.45,59.1,No Adaptation,1294.64
1996,USA,Midwest,Sugarcane,11.48,1458.51,18.79,1.386,10,23.83,24.69,91.9,80.18,No Adaptation,467.83
2004,Australia,Western Australia,Sugarcane,14.42,972.56,6.15,3.87,8,71.55,43.61,15.23,51.4,Crop Rotation,570.24
2003,France,Grand Est,Sugarcane,24.5,1193.78,8.97,1.83,3,35.39,44.88,42.55,98.12,Organic Farming,732.77
2009,Russia,Northwestern,Sugarcane,20.98,2817.29,1.2,2.45,8,31.93,23.41,77.07,56.14,Water Management,873.15
2015,China,East,Sugarcane,0.84,1675.49,25.82,2.592,8,51.45,9.92,83.18,59.58,No Adaptation,776.18
2000,Canada,Prairies,Sugarcane,21.88,1932.91,5.5,3.19,2,71.76,33.96,65.41,43.5,Crop Rotation,1030.18
2021,Argentina,Patagonia,Sugarcane,20.24,1299.9,10.83,1.98,6,89.38,31.73,17.76,59.24,Water Management,969.37
2004,Nigeria,South East,Sugarcane,4.9,2350.99,20.05,2.7,8,56.78,8.38,16.2,33.23,Organic Farming,971.15
2012,USA,South,Sugarcane,18.13,2770.43,1.26,3.44,6,18.74,39.33,31.43,70.55,Organic Farming,653.93
2014,Argentina,Northeast,Sugarcane,19.46,2375.95,26.04,3.24,1,57.24,47.5,96.08,95.93,Drought-resistant Crops,358.39
2010,Brazil,South,Sugarcane,-0.71,249.56,5.99,1.08,9,44.36,47.64,75.62,51.66,Drought-resistant Crops,397.4
2022,India,West Bengal,Sugarcane,29.19,1245.07,4.9,0.87,10,95.88,18.99,48.28,73.98,Drought-resistant Crops,268.78
2002,China,Central,Sugarcane,24.3,1361.08,12.63,3.62,5,85.32,23.15,11.1,55.48,Drought-resistant Crops,1696.79
2012,USA,South,Sugarcane,4.16,758.06,29.95,2.52,0,18.75,15.44,61.82,44.87,Water Management,602.99
1998,Australia,Western Australia,Sugarcane,-1.79,2578.75,28.52,1.719,3,75.43,45.78,30.24,54.38,Organic Farming,669.93
2000,Nigeria,North West,Sugarcane,-3.5,629.56,17.87,1.647,5,57.98,34.1,29.67,56.89,Water Management,610.89
1994,Nigeria,South West,Sugarcane,31.32,2355.14,18.13,3.042,1,69.52,7.38,61.32,44.33,Organic Farming,1493.42
2003,Australia,Victoria,Sugarcane,33.76,300.41,5.91,1.854,1,20.45,47.28,91.62,78.43,Water Management,269.15
2008,Argentina,Patagonia,Sugarcane,20.43,1524.19,2.64,3.66,9,56.53,9.41,92.69,40.92,Water Management,510.73
1994,Canada,Prairies,Sugarcane,12.21,2031.75,17.33,2.475,8,63.22,0.43,58.07,32.67,No Adaptation,1229.39
2015,USA,South,Sugarcane,14.48,2509.97,2.22,1.53,7,70.29,7.46,60.74,89.67,Water Management,700.55
2014,Canada,Prairies,Sugarcane,5.84,294.64,22.59,1.2060000000000002,8,89.68,40.98,91.3,46.21,Organic Farming,537.87
1994,Canada,British Columbia,Sugarcane,14.91,604.9,29.7,4.284,7,12.45,16.22,24.43,90.58,Crop Rotation,1595.47
1990,China,Central,Sugarcane,-1.2,1886.56,18.52,0.54,6,61.98,31.41,26.19,34.24,No Adaptation,224.92
2022,Australia,Victoria,Sugarcane,8.6,1050.44,2.35,0.95,5,50.79,32.26,18.88,95.06,Drought-resistant Crops,395.72
2015,China,North,Sugarcane,6.34,2517.66,21.0,0.954,5,98.04,34.93,66.68,77.17,Drought-resistant Crops,226.15
2022,Russia,Volga,Sugarcane,7.9,232.98,10.67,1.917,7,84.53,37.18,30.68,40.32,Crop Rotation,283.16
1996,France,Grand Est,Sugarcane,-4.64,1036.47,13.63,2.36,0,27.77,4.32,93.85,79.52,No Adaptation,879.11
1998,India,Punjab,Sugarcane,19.92,1248.01,6.12,4.96,6,67.09,30.13,64.61,83.45,Organic Farming,2346.47
2015,Australia,Western Australia,Sugarcane,-3.87,1180.17,8.66,2.31,10,78.07,26.46,19.76,53.24,No Adaptation,1122.64
2020,Australia,Western Australia,Sugarcane,9.3,1251.05,5.38,1.63,4,47.47,45.07,67.44,46.62,Crop Rotation,240.99
1995,Russia,Siberian,Sugarcane,14.91,626.9,29.66,3.654,7,75.95,23.67,30.94,41.37,No Adaptation,1490.13
2002,Brazil,Southeast,Sugarcane,19.28,1694.37,11.34,3.49,2,45.11,40.21,92.73,40.08,Water Management,662.99
1999,Brazil,North,Sugarcane,8.67,1292.99,20.21,0.7020000000000001,6,81.97,29.51,67.59,34.47,No Adaptation,246.67
2016,USA,South,Sugarcane,0.46,621.5,27.93,0.675,8,84.35,16.95,45.16,39.18,Organic Farming,155.23
2012,Argentina,Pampas,Sugarcane,3.53,204.35,6.94,2.232,0,52.34,28.15,66.81,77.19,Organic Farming,780.41
2001,China,South,Sugarcane,25.53,1183.75,7.87,3.3,5,49.13,18.08,99.85,95.75,Drought-resistant Crops,874.76
2022,Russia,Siberian,Sugarcane,8.51,2897.17,24.17,2.421,3,13.16,10.58,39.91,96.61,Crop Rotation,489.98
1994,China,East,Sugarcane,29.32,2110.11,14.52,3.1,7,36.3,9.4,71.04,87.86,Drought-resistant Crops,944.12
2019,Brazil,North,Sugarcane,28.53,1823.5,24.83,2.07,4,61.9,20.32,0.15,38.5,No Adaptation,340.67
1992,Nigeria,North West,Sugarcane,20.8,2802.8,28.59,0.999,6,94.15,13.27,64.03,73.17,Organic Farming,412.29
2022,Russia,Volga,Sugarcane,-1.58,2641.56,20.74,1.845,0,32.23,12.6,95.88,50.55,No Adaptation,329.94
1994,Australia,Western Australia,Sugarcane,20.46,566.91,7.31,2.84,4,86.22,36.54,11.46,55.25,Crop Rotation,607.92
2005,France,Ile-de-France,Sugarcane,32.89,278.61,12.38,1.305,5,23.72,48.81,40.35,49.66,Organic Farming,522.63
1996,France,Ile-de-France,Sugarcane,5.88,1811.29,16.46,0.675,9,72.47,44.58,87.03,37.76,Water Management,271.92
2008,USA,West,Sugarcane,-1.03,647.44,19.11,1.962,7,90.84,22.39,16.24,60.03,Water Management,978.78
1994,India,Maharashtra,Sugarcane,29.88,272.95,4.72,0.7290000000000001,7,89.09,9.75,7.04,38.13,Crop Rotation,233.26
2020,Canada,British Columbia,Sugarcane,0.7,1667.35,9.08,0.79,5,90.82,29.48,41.67,71.84,Water Management,349.23
2010,China,South,Sugarcane,12.6,2006.55,23.34,4.1850000000000005,0,37.23,28.93,77.09,71.62,Drought-resistant Crops,1906.47
2016,Brazil,South,Sugarcane,31.06,1720.53,21.85,3.168,1,50.46,21.03,77.71,78.14,Water Management,1333.04
2017,Russia,Central,Sugarcane,23.84,551.91,9.15,3.48,3,96.25,48.39,34.64,97.6,Drought-resistant Crops,589.51
2010,Russia,Volga,Sugarcane,29.56,1093.08,25.74,2.232,4,94.3,49.78,79.09,58.72,Drought-resistant Crops,827.07
2008,Nigeria,South East,Sugarcane,34.04,764.67,5.56,3.28,1,48.49,15.97,64.87,65.49,Drought-resistant Crops,673.31
2022,Brazil,North,Sugarcane,9.38,2371.32,10.87,1.18,1,27.28,49.34,77.35,35.48,Water Management,480.74
2021,China,North,Sugarcane,10.94,2966.25,19.78,2.313,8,45.18,3.04,84.95,52.78,No Adaptation,267.12
2007,India,Maharashtra,Sugarcane,4.09,585.9,25.51,1.089,0,62.19,37.14,85.07,37.57,Crop Rotation,151.82
2002,India,West Bengal,Sugarcane,32.67,1620.57,22.65,2.358,7,53.84,20.26,84.67,78.03,Crop Rotation,1150.22
2011,China,South,Sugarcane,16.0,1900.12,6.85,3.0,6,67.53,25.0,10.55,82.0,Water Management,633.68
2022,USA,Midwest,Sugarcane,4.56,1862.42,19.91,1.323,7,44.88,24.33,58.66,77.52,Organic Farming,151.61
2019,Australia,Victoria,Sugarcane,11.64,2645.95,13.42,4.97,3,97.85,44.08,76.63,30.59,Organic Farming,2272.63
1990,Russia,Volga,Sugarcane,-0.51,2583.48,2.45,0.89,3,12.03,7.31,42.99,96.49,Water Management,300.21
1999,India,Punjab,Sugarcane,14.05,2037.31,12.43,4.0,9,64.05,16.43,46.97,90.72,Drought-resistant Crops,418.55
1992,Australia,New South Wales,Sugarcane,30.27,2952.85,24.53,3.249,1,12.25,18.26,22.5,70.79,Water Management,1248.43
1991,Argentina,Pampas,Sugarcane,10.13,2363.47,24.82,2.601,0,20.13,17.44,53.55,63.72,Drought-resistant Crops,453.76
2002,France,Ile-de-France,Sugarcane,22.94,2993.1,7.16,1.5,0,95.25,25.67,20.68,41.07,Drought-resistant Crops,444.37
1998,China,North,Sugarcane,29.67,2239.28,3.2,3.27,9,67.81,20.26,91.32,77.3,Water Management,415.54
2012,Nigeria,South West,Sugarcane,-2.26,937.15,14.89,1.39,10,94.45,29.32,71.86,71.59,Drought-resistant Crops,247.28
2002,Brazil,South,Sugarcane,1.99,1175.52,3.11,1.58,1,25.11,27.95,72.35,98.98,Drought-resistant Crops,567.79
2001,Australia,Western Australia,Sugarcane,23.91,2144.65,12.54,3.77,7,98.18,18.67,62.76,82.42,Crop Rotation,862.9
1991,India,Tamil Nadu,Sugarcane,6.68,2178.73,25.54,1.98,3,40.3,35.17,94.37,72.72,Drought-resistant Crops,767.22
2000,Nigeria,North Central,Sugarcane,1.46,969.6,19.9,1.242,0,37.21,42.0,0.82,48.61,Organic Farming,443.38
1997,France,Grand Est,Sugarcane,20.38,522.88,29.74,2.889,5,50.68,34.45,64.01,56.35,No Adaptation,1132.54
2017,France,Ile-de-France,Sugarcane,3.07,1515.56,12.06,1.04,8,54.53,44.02,68.87,95.63,Organic Farming,511.85
2012,Brazil,South,Sugarcane,28.3,423.52,23.14,3.438,3,92.16,27.85,41.23,94.96,Crop Rotation,1292.86
2010,Australia,New South Wales,Sugarcane,0.15,2703.88,22.37,2.367,8,46.78,12.09,5.92,58.16,Organic Farming,692.25
2006,Australia,Western Australia,Sugarcane,20.58,1132.0,21.33,2.772,2,86.87,14.71,84.13,41.78,Drought-resistant Crops,700.02
2017,France,Nouvelle-Aquitaine,Sugarcane,29.61,1737.17,2.18,3.34,9,97.28,32.71,87.77,48.51,Crop Rotation,403.74
2005,France,Grand Est,Sugarcane,2.87,846.79,15.03,0.918,3,79.68,11.03,89.38,42.66,Crop Rotation,313.13
2005,Canada,Ontario,Sugarcane,19.21,2266.43,22.76,2.709,10,17.04,39.05,92.98,92.85,Water Management,1124.22
1999,Argentina,Patagonia,Sugarcane,7.62,752.58,11.49,1.8,8,43.2,11.86,17.23,66.1,Crop Rotation,246.91
1993,Brazil,Northeast,Sugarcane,11.53,2730.11,19.26,2.979,0,26.68,43.26,35.95,33.38,Drought-resistant Crops,1401.9
2014,Brazil,Northeast,Sugarcane,-0.51,560.9,13.42,1.47,1,42.42,1.41,87.46,74.15,Crop Rotation,678.22
2024,Argentina,Northeast,Sugarcane,26.5,1653.64,22.1,2.673,7,40.19,46.9,10.09,37.27,No Adaptation,672.54
2000,Nigeria,North West,Sugarcane,28.09,454.67,24.49,2.853,8,52.9,40.43,14.25,63.74,Crop Rotation,440.81
2011,Nigeria,South West,Sugarcane,22.36,406.74,11.46,2.619,5,50.86,17.44,30.65,43.95,Drought-resistant Crops,1019.21
1994,Brazil,North,Sugarcane,-4.22,803.5,21.6,2.394,0,50.48,30.57,9.58,94.22,Organic Farming,910.97
2003,Nigeria,North West,Sugarcane,7.56,967.82,6.77,2.01,1,24.0,34.82,29.85,85.38,Water Management,631.27
1996,China,East,Sugarcane,1.38,1015.71,23.49,1.161,0,99.43,21.86,33.7,73.06,Water Management,146.59
2017,China,South,Sugarcane,-2.55,2732.86,2.18,2.54,3,50.88,42.49,56.06,47.07,No Adaptation,867.92
2024,Nigeria,North Central,Sugarcane,9.5,1127.1,28.92,1.683,1,65.48,35.95,44.24,90.25,Crop Rotation,592.65
1991,Brazil,Northeast,Sugarcane,-2.67,2587.44,10.69,1.33,7,39.16,45.43,93.32,84.29,Water Management,324.9
1994,USA,Northeast,Sugarcane,34.98,497.36,10.08,2.331,3,18.19,36.36,59.26,48.75,Organic Farming,359.29
2013,Nigeria,North West,Sugarcane,0.6,375.63,26.43,1.2060000000000002,9,97.21,46.53,1.28,35.37,Water Management,228.86
1999,Australia,New South Wales,Sugarcane,34.09,871.11,10.87,2.29,8,17.38,41.65,23.34,74.17,Drought-resistant Crops,261.81
2012,Argentina,Northeast,Sugarcane,20.62,2449.88,27.72,3.42,7,93.4,26.16,59.39,53.62,Water Management,537.52
2012,Argentina,Northwest,Sugarcane,31.77,2146.62,22.88,1.098,1,15.17,31.39,31.1,48.73,Crop Rotation,280.08
2008,Australia,Victoria,Sugarcane,28.09,302.01,26.13,2.205,5,42.87,4.14,56.3,92.97,Drought-resistant Crops,254.02
2020,Nigeria,North West,Sugarcane,23.48,2463.5,7.39,3.79,2,63.3,17.77,39.72,93.44,Crop Rotation,1647.67
2008,Australia,Queensland,Sugarcane,2.08,952.76,11.77,2.8,3,44.01,36.62,78.56,51.7,Crop Rotation,625.63
2023,France,Ile-de-France,Sugarcane,21.72,1802.96,29.25,1.503,0,62.11,14.97,95.38,71.31,Organic Farming,261.37
1997,USA,Midwest,Sugarcane,29.85,2221.68,5.1,1.67,7,22.03,15.91,60.3,41.13,Organic Farming,601.13
2002,USA,South,Sugarcane,34.33,1115.58,6.03,1.39,7,98.3,24.91,50.13,61.54,Water Management,287.04
2003,Nigeria,South West,Sugarcane,6.82,1531.83,3.93,1.96,4,10.18,19.64,97.63,88.06,Water Management,970.58
2018,Brazil,North,Sugarcane,11.09,1825.72,5.54,1.69,3,48.17,19.18,19.15,32.09,Organic Farming,279.58
2002,France,Nouvelle-Aquitaine,Sugarcane,12.75,1323.22,4.27,4.61,0,84.21,28.45,48.81,31.29,Organic Farming,1293.14
2020,Canada,Quebec,Sugarcane,8.85,964.15,10.94,1.31,4,57.25,23.25,28.87,82.96,Water Management,505.07
1992,China,Central,Sugarcane,15.26,2360.92,24.68,2.52,4,97.24,13.05,90.8,65.2,Organic Farming,757.11
1993,India,West Bengal,Sugarcane,5.07,1476.48,27.48,2.6910000000000003,7,74.2,16.67,18.13,46.28,No Adaptation,989.17
1997,Argentina,Patagonia,Sugarcane,14.21,2517.45,18.96,4.158,1,86.26,47.73,80.33,86.16,Crop Rotation,710.21
1990,USA,Northeast,Sugarcane,33.91,1208.28,26.33,1.629,1,75.41,27.86,21.57,47.5,No Adaptation,274.79
2006,Canada,British Columbia,Sugarcane,5.77,558.19,23.44,1.71,0,92.77,43.92,71.97,36.48,Water Management,287.07
2001,Nigeria,South East,Sugarcane,21.79,1072.65,18.75,3.042,5,61.85,11.98,70.77,78.35,Drought-resistant Crops,1077.12
2017,Russia,Volga,Sugarcane,27.77,2040.38,20.1,3.366,2,64.1,32.07,52.52,87.72,Crop Rotation,1058.27
2011,Russia,Volga,Sugarcane,10.57,399.49,1.77,2.106,10,50.78,22.95,57.89,90.2,Water Management,594.43
2005,China,Central,Sugarcane,9.43,2908.45,29.26,2.241,1,74.76,37.46,47.36,86.16,No Adaptation,381.39
1993,Brazil,Northeast,Sugarcane,4.98,1948.77,5.7,1.37,0,88.3,14.54,47.5,91.42,Water Management,578.72
2012,France,Nouvelle-Aquitaine,Sugarcane,10.18,257.56,17.19,2.16,8,18.15,38.19,64.21,55.6,Water Management,798.17
2006,Nigeria,South East,Sugarcane,10.83,2411.13,0.94,2.8,3,32.8,7.16,1.52,39.32,Water Management,1311.0
2006,Argentina,Northwest,Sugarcane,28.74,1777.73,2.0,1.33,3,57.86,23.89,2.5,59.57,Water Management,146.71
1994,Brazil,South,Sugarcane,7.69,1938.23,23.71,0.8280000000000001,7,22.53,30.81,37.42,45.3,Water Management,144.59
2018,Argentina,Patagonia,Sugarcane,25.18,1554.67,2.67,2.51,10,61.14,36.63,31.6,89.7,No Adaptation,1153.91
1991,Nigeria,North West,Sugarcane,8.34,321.45,21.2,1.089,5,95.09,29.38,66.44,63.73,Organic Farming,299.77
2019,Argentina,Pampas,Sugarcane,16.17,1257.26,2.25,4.16,1,24.43,22.61,65.74,53.07,Crop Rotation,826.81
2007,Brazil,Southeast,Sugarcane,9.25,707.41,14.58,1.1,10,94.58,31.77,98.69,81.96,No Adaptation,217.33
2021,Argentina,Pampas,Sugarcane,20.07,1599.36,9.44,3.31,10,87.51,29.59,80.46,58.62,Crop Rotation,1528.75
2011,Australia,Victoria,Sugarcane,8.97,907.99,2.91,2.08,4,63.61,21.98,62.03,52.36,Crop Rotation,236.26
2005,Nigeria,North West,Sugarcane,3.94,1742.62,12.3,0.61,6,47.97,19.31,44.08,38.96,Organic Farming,83.22
2014,Argentina,Pampas,Sugarcane,12.88,283.83,2.14,2.817,3,29.1,43.99,25.23,49.1,Organic Farming,332.32
2020,China,South,Sugarcane,28.51,263.07,29.05,1.809,6,15.68,14.19,3.08,97.36,No Adaptation,710.79
1994,Russia,Northwestern,Sugarcane,8.47,2606.77,27.38,0.918,8,34.02,20.12,37.01,96.79,Crop Rotation,333.76
2008,China,Central,Sugarcane,18.1,261.62,17.45,1.7009999999999998,4,84.57,35.67,16.05,45.52,No Adaptation,306.84
2018,Canada,British Columbia,Sugarcane,24.64,389.33,5.06,1.791,1,66.98,13.77,25.99,86.79,Organic Farming,730.73
1996,Brazil,Northeast,Sugarcane,-3.35,644.16,23.25,1.755,8,23.83,33.25,78.24,85.7,Organic Farming,480.48
2004,Nigeria,North Central,Sugarcane,11.81,708.22,25.76,1.548,7,72.61,31.63,57.05,59.65,Organic Farming,352.54
2004,Australia,New South Wales,Sugarcane,15.8,1837.58,13.62,4.63,2,22.01,18.2,16.12,73.33,Crop Rotation,753.39
2023,China,East,Sugarcane,20.29,2991.6,26.44,2.4480000000000004,6,32.17,35.91,30.3,38.76,Organic Farming,519.5
2017,USA,Northeast,Sugarcane,33.95,742.0,9.21,2.49,2,11.99,12.52,46.69,67.42,Crop Rotation,521.95
2020,USA,South,Sugarcane,14.17,272.87,20.75,2.718,2,31.15,21.87,84.75,95.27,Crop Rotation,292.14
1998,China,Central,Sugarcane,29.25,1104.77,25.22,1.035,7,23.13,30.95,55.39,66.73,Water Management,502.41
2021,China,North,Sugarcane,15.02,2682.9,18.08,3.015,2,41.27,18.04,38.58,48.88,Drought-resistant Crops,1299.21
2022,Russia,Volga,Sugarcane,16.24,2154.34,25.81,3.249,9,17.52,15.96,52.66,97.0,Organic Farming,1355.91
2024,Australia,Queensland,Sugarcane,8.99,2470.9,12.98,0.78,4,70.91,0.06,8.82,97.97,Drought-resistant Crops,145.12
2001,Argentina,Pampas,Sugarcane,0.56,1578.55,18.7,0.621,5,47.23,45.05,92.2,46.02,Water Management,287.99
1996,Brazil,Northeast,Sugarcane,5.86,453.23,0.76,0.855,5,60.71,47.96,57.53,36.12,Drought-resistant Crops,362.45
2006,Argentina,Patagonia,Sugarcane,19.64,320.7,11.11,3.411,4,20.23,2.58,86.48,95.4,Drought-resistant Crops,1619.23
2011,USA,Midwest,Sugarcane,30.2,850.68,3.09,3.27,10,27.7,4.43,15.19,79.93,Organic Farming,469.07
2012,China,South,Sugarcane,26.39,1462.44,17.49,3.519,9,24.68,38.73,48.35,48.41,Crop Rotation,572.22
2020,USA,South,Sugarcane,11.5,2303.03,18.31,1.926,0,36.76,19.56,13.89,30.88,Water Management,374.87
1996,USA,West,Sugarcane,9.86,1783.49,7.91,2.77,6,18.27,13.05,37.79,86.17,Drought-resistant Crops,1235.66
1995,Canada,British Columbia,Sugarcane,25.35,2437.51,18.35,3.42,9,49.71,49.27,11.56,44.49,Water Management,1369.37
1993,Canada,Ontario,Sugarcane,0.99,2753.38,15.59,0.936,1,82.97,29.9,20.67,78.98,No Adaptation,128.13
2005,Brazil,Southeast,Sugarcane,3.92,536.91,21.8,1.737,0,91.22,24.82,67.18,58.82,Crop Rotation,686.39
2024,USA,South,Sugarcane,5.04,2890.51,20.01,1.098,8,78.87,8.27,28.64,79.38,Water Management,373.87
2008,Brazil,North,Sugarcane,13.32,2692.7,3.29,3.62,0,49.38,33.36,44.97,61.39,Water Management,707.83
2012,Russia,Volga,Sugarcane,20.31,1017.7,11.38,3.99,5,36.05,36.11,30.65,68.66,No Adaptation,1528.88
2005,Russia,Siberian,Sugarcane,20.77,1120.57,7.78,2.78,5,33.49,31.73,97.17,73.88,Drought-resistant Crops,1100.33
2023,Russia,Northwestern,Sugarcane,34.34,1024.92,3.21,1.39,9,82.83,8.32,57.14,99.53,Drought-resistant Crops,617.78
1991,China,East,Sugarcane,2.88,319.04,13.02,2.2230000000000003,6,26.02,30.62,37.93,79.85,No Adaptation,642.27
1994,China,North,Sugarcane,32.99,2554.7,4.43,3.08,3,32.4,9.63,14.34,34.97,Water Management,447.08
2000,Argentina,Northwest,Sugarcane,17.93,698.96,27.29,3.717,3,52.31,47.46,93.47,80.41,Organic Farming,1162.0
2008,India,Tamil Nadu,Sugarcane,11.07,1613.86,15.78,4.356,9,11.16,32.57,65.05,57.66,No Adaptation,1661.16
2012,India,West Bengal,Sugarcane,17.97,2749.07,4.86,3.41,6,25.32,48.26,39.87,89.33,No Adaptation,628.16
2024,Canada,British Columbia,Sugarcane,-1.62,2266.84,29.23,2.484,8,49.43,21.11,35.64,66.09,Organic Farming,345.35
2024,India,Maharashtra,Sugarcane,28.04,2777.97,1.44,3.75,6,95.66,47.42,96.5,90.47,No Adaptation,1216.51
2011,China,Central,Sugarcane,13.4,1588.33,26.56,2.349,4,40.05,6.22,16.61,64.75,Organic Farming,907.0
2017,Brazil,Southeast,Sugarcane,27.55,2391.85,0.74,0.97,5,64.05,46.13,21.41,99.65,Drought-resistant Crops,471.74
2003,Argentina,Northeast,Sugarcane,23.24,2652.16,21.3,1.4580000000000002,9,24.19,35.35,74.47,41.36,Drought-resistant Crops,672.35
1993,Brazil,South,Sugarcane,33.48,573.74,25.62,1.989,2,24.55,1.41,70.76,34.46,Organic Farming,861.75
1993,Canada,Prairies,Sugarcane,12.7,854.51,23.42,1.818,9,64.89,39.54,48.17,57.16,Drought-resistant Crops,365.1
1999,USA,South,Sugarcane,30.94,923.98,7.08,1.03,8,30.87,15.25,21.42,80.02,Water Management,265.69
2006,India,Punjab,Sugarcane,30.04,2936.51,0.71,1.55,4,29.09,41.69,75.08,62.85,Drought-resistant Crops,716.27
1996,China,Central,Sugarcane,26.68,1161.71,16.51,2.934,2,36.49,23.96,12.57,91.06,No Adaptation,781.28
2001,Australia,New South Wales,Sugarcane,23.59,1504.25,24.93,2.934,2,98.63,34.15,83.28,92.8,Crop Rotation,1350.12
2004,Nigeria,South West,Sugarcane,22.54,1320.71,17.48,1.287,2,67.14,34.47,1.37,47.87,Water Management,627.58
2006,Australia,Victoria,Sugarcane,25.27,1943.91,17.26,3.123,1,46.94,15.39,0.14,82.58,Water Management,1073.87
2014,Russia,Volga,Sugarcane,9.06,2967.56,2.87,2.27,0,58.26,37.84,82.09,60.16,Organic Farming,377.08
2014,Nigeria,South East,Sugarcane,30.85,1586.81,17.07,1.125,3,55.98,3.5,52.13,98.8,Crop Rotation,318.66
1992,USA,South,Sugarcane,22.58,2199.25,9.63,0.94,6,55.11,19.7,88.0,44.1,No Adaptation,211.15
1994,USA,Midwest,Sugarcane,31.64,1059.94,27.9,2.9160000000000004,0,74.25,23.13,23.12,62.07,Crop Rotation,1190.47
1999,Canada,British Columbia,Sugarcane,6.79,2098.29,11.94,2.28,9,90.11,21.24,32.21,64.68,Drought-resistant Crops,325.89
2016,Argentina,Patagonia,Sugarcane,-0.47,691.72,11.84,1.28,2,94.4,45.52,91.18,77.32,Water Management,567.46
1997,Russia,Siberian,Sugarcane,32.5,1725.07,17.83,0.756,5,34.47,35.19,51.95,31.41,No Adaptation,102.3
